AnalyticsAccount	status.observedState.accountTicketID
DevConnectInsightsConfig	status.observedState.state
DialogflowKnowledgeBase	status.observedState.name
DocumentAIProcessor	status.observedState.defaultProcessorVersion
DocumentAIProcessor	status.observedState.name
EdgeContainerMachine	status.observedState.hostedNode
FirestoreBackupSchedule	status.observedState.name
FirestoreDocument	status.observedState.createTime
FirestoreDocument	status.observedState.updateTime
FirestoreField	status.observedState.indexConfig
FirestoreField	status.observedState.indexConfig.ancestorField
FirestoreField	status.observedState.indexConfig.indexes
FirestoreField	status.observedState.indexConfig.indexes[]
FirestoreField	status.observedState.indexConfig.indexes[].name
FirestoreField	status.observedState.indexConfig.indexes[].state
FirestoreField	status.observedState.indexConfig.reverting
FirestoreField	status.observedState.indexConfig.usesAncestorConfig
GKEBackupBackup	status.observedState.clusterMetadata.backupCRDVersions
GKEBackupRestore	status.observedState.restoreConfig.substitutionRules[].targetJSONPath
GrafeasNote	status.observedState.createTime
GrafeasNote	status.observedState.kind
GrafeasNote	status.observedState.updateTime
ManagedKafkaConsumerGroup	status.observedState.topics
ManagedKafkaConsumerGroup	status.observedState.topics.KEY
ManagedKafkaConsumerGroup	status.observedState.topics.KEY.partitions
ManagedKafkaConsumerGroup	status.observedState.topics.KEY.partitions[]
ManagedKafkaConsumerGroup	status.observedState.topics.KEY.partitions[].key
ManagedKafkaConsumerGroup	status.observedState.topics.KEY.partitions[].metadata
ManagedKafkaConsumerGroup	status.observedState.topics.KEY.partitions[].offset
NetworkConnectivityInternalRange	status.observedState.createTime
NetworkConnectivityInternalRange	status.observedState.updateTime
NetworkConnectivityInternalRange	status.observedState.users
NetworkConnectivityInternalRange	status.observedState.users[]
NetworkConnectivityMulticloudDataTransferConfig	status.observedState.createTime
NetworkConnectivityMulticloudDataTransferConfig	status.observedState.destinationsActiveCount
NetworkConnectivityMulticloudDataTransferConfig	status.observedState.destinationsCount
NetworkConnectivityMulticloudDataTransferConfig	status.observedState.services
NetworkConnectivityMulticloudDataTransferConfig	status.observedState.services.KEY
NetworkConnectivityMulticloudDataTransferConfig	status.observedState.services.KEY.states
NetworkConnectivityMulticloudDataTransferConfig	status.observedState.services.KEY.states[]
NetworkConnectivityMulticloudDataTransferConfig	status.observedState.services.KEY.states[].effectiveTime
NetworkConnectivityMulticloudDataTransferConfig	status.observedState.services.KEY.states[].state
NetworkConnectivityMulticloudDataTransferConfig	status.observedState.uid
NetworkConnectivityMulticloudDataTransferConfig	status.observedState.updateTime
NetworkConnectivityRegionalEndpoint	status.observedState.createTime
NetworkConnectivityRegionalEndpoint	status.observedState.ipAddress
NetworkConnectivityRegionalEndpoint	status.observedState.pscForwardingRule
NetworkConnectivityRegionalEndpoint	status.observedState.updateTime
NetworkConnectivityServiceConnectionPolicy	status.observedState.createTime
NetworkConnectivityServiceConnectionPolicy	status.observedState.etag
NetworkConnectivityServiceConnectionPolicy	status.observedState.infrastructure
NetworkConnectivityServiceConnectionPolicy	status.observedState.pscConnections
NetworkConnectivityServiceConnectionPolicy	status.observedState.pscConnections[]
NetworkConnectivityServiceConnectionPolicy	status.observedState.pscConnections[].consumerAddress
NetworkConnectivityServiceConnectionPolicy	status.observedState.pscConnections[].consumerForwardingRule
