kind=NetworkConnectivityRegionalEndpoint group=networkconnectivity: scaffold emitted Location as value, original declares pointer
kind=NetworkConnectivityServiceConnectionPolicy group=networkconnectivity: scaffold emitted Location as value, original declares pointer
kind=NetworkManagementConnectivityTest group=networkmanagement: scaffold emitted Location as value, original declares pointer
kind=NetworkManagementVPCFlowLogsConfig group=networkmanagement: scaffold emitted Location as value, original declares pointer
kind=NetworkSecurityAddressGroup group=networksecurity: scaffold emitted Location as value, original declares pointer
kind=NetworkSecurityAuthzPolicy group=networksecurity: scaffold emitted Location as value, original declares pointer
kind=NetworkSecurityBackendAuthenticationConfig group=networksecurity: scaffold emitted Location as value, original declares pointer
kind=NetworkSecurityDNSThreatDetector group=networksecurity: scaffold emitted Location as value, original declares pointer
kind=NetworkSecurityFirewallEndpointAssociation group=networksecurity: scaffold emitted Location as value, original declares pointer
kind=NetworkSecurityInterceptDeployment group=networksecurity: scaffold emitted Location as value, original declares pointer
kind=NetworkSecurityInterceptEndpointGroup group=networksecurity: scaffold emitted Location as value, original declares pointer
kind=NetworkSecurityMirroringDeployment group=networksecurity: scaffold emitted Location as value, original declares pointer
kind=NetworkSecurityMirroringEndpointGroup group=networksecurity: scaffold emitted Location as value, original declares pointer
kind=NetworkSecurityPartnerSSEGateway group=networksecurity: scaffold emitted Location as value, original declares pointer
kind=NetworkSecuritySACRealm group=networksecurity: scaffold emitted Location as value, original declares pointer
kind=NetworkSecuritySecurityProfile group=networksecurity: scaffold emitted Location as value, original declares pointer
kind=NetworkSecuritySecurityProfileGroup group=networksecurity: scaffold emitted Location as value, original declares pointer
kind=NetworkSecurityTLSInspectionPolicy group=networksecurity: scaffold emitted Location as value, original declares pointer
kind=NetworkSecurityURLList group=networksecurity: scaffold emitted Location as value, original declares pointer
kind=NetworkServicesAuthzExtension group=networkservices: scaffold emitted Location as value, original declares absent
kind=NetworkServicesLBRouteExtension group=networkservices: scaffold emitted Location as value, original declares absent
kind=NetworkServicesLBTrafficExtension group=networkservices: scaffold emitted Location as value, original declares absent
kind=NetworkServicesWasmPlugin group=networkservices: scaffold emitted Location as value, original declares absent
kind=NotebooksExecution group=notebooks: scaffold emitted Location as value, original declares pointer
kind=NotebooksSchedule group=notebooks: scaffold emitted Location as value, original declares pointer
kind=ParameterManagerParameter group=parametermanager: scaffold emitted Location as value, original declares absent
kind=ParameterManagerParameterVersion group=parametermanager: scaffold emitted Location as value, original declares absent
kind=RapidMigrationAssessmentCollector group=rapidmigrationassessment: scaffold emitted Location as value, original declares pointer
kind=ReCAPTCHAEnterpriseFirewallPolicy group=recaptchaenterprise: scaffold emitted Location as value, original declares absent
kind=SQLAdminBackup group=sqladmin: scaffold emitted Location as value, original declares pointer
kind=SaasServiceMgmtRelease group=saasservicemgmt: scaffold emitted Location as value, original declares pointer
kind=SecurityCenterBigQueryExport group=securitycenter: scaffold emitted Location as value, original declares pointer
kind=SecurityCenterManagementEventThreatDetectionCustomModule group=securitycentermanagement: scaffold emitted Location as value, original declares pointer
kind=SecurityCenterMuteConfig group=securitycenter: scaffold emitted Location as value, original declares absent
kind=ServiceNetworkingPeeredDNSDomain group=servicenetworking: scaffold emitted Location as value, original declares absent
kind=StorageInsightsDatasetConfig group=storageinsights: scaffold emitted Location as value, original declares pointer
kind=TasksQueue group=cloudtasks: scaffold emitted Location as value, original declares pointer
kind=TestingDeviceSession group=testing: scaffold emitted Location as value, original declares absent
kind=TranslateAdaptiveMtDataset group=translate: scaffold emitted Location as value, original declares pointer
kind=VMwareEngineExternalAccessRule group=vmwareengine: scaffold emitted Location as value, original declares absent
kind=VMwareEngineNetworkPeering group=vmwareengine: scaffold emitted Location as value, original declares absent
kind=VMwareEngineNetworkPolicy group=vmwareengine: scaffold emitted Location as value, original declares absent
kind=VMwareEnginePrivateCloud group=vmwareengine: scaffold emitted Location as value, original declares absent
kind=VMwareEnginePrivateConnection group=vmwareengine: scaffold emitted Location as value, original declares absent
kind=VectorSearchCollection group=vectorsearch: scaffold emitted Location as value, original declares pointer
kind=VertexAICustomJob group=vertexai: scaffold emitted Location as value, original declares pointer
kind=VertexAIDeploymentResourcePool group=vertexai: scaffold emitted Location as value, original declares pointer
